line number,Character,Character pinyin,Character EN translation,Character HE translation ,Related Sentence,Sentence Pinyin,Sentence EN Translation,Sentence HE Translation,Apearances in sentences,Group,Sentence Length
1533,签证,qiānzhèng,visa.,וִיזָה.,需要签证。,Xūyào qiānzhèng.,Visa required.,נדרשת ויזה.,2,Group 2,5
1534,温度,wēndù,temperature.,טֶמפֶּרָטוּרָה.,温度很高。,Wēndù hěn gāo.,The temperature is very high.,הטמפרטורה גבוהה מאוד.,2,Group 2,5
1535,古迹,gǔjī,historical sites;,אתרים היסטוריים;,这是古迹。,Zhè shì gǔjì.,This is a historical site.,זהו אתר היסטורי.,2,Group 2,5
1536,零下,língxià,below zero;,מתחת לאפס;,零下五度。,Língxià wǔ dù.,Minus five degrees.,מינוס חמש מעלות.,2,Group 2,5
1537,更,gèng,"even (in a comparison), in particular","אפילו (בהשוואה), במיוחד",这个更好。,Zhège gèng hǎo.,This is better.,זה עדיף.,1,Group 2,5
1538,霜,shuāng,frost;,כְּפוֹר;,地上有霜。,Dìshang yǒu shuāng.,There is frost on the ground.,יש כפור על הקרקע.,1,Group 2,5
1539,弄,nòng,play with; do; get,לשחק עם; לַעֲשׂוֹת; לְקַבֵּל,别弄坏了。,Bié nòng huài le.,Don't break it.,אל תשבור את זה.,2,Group 2,5
1540,双,shuāng,even;,אֲפִילוּ;,这是双数。,Zhè shì shuāngshù.,This is an even number.,זהו מספר זוגי.,2,Group 2,5
1541,牌子,páizi,plate; sign; brand; trademark.,צַלַחַת; סִימָן; מותג; סִימָן מִסחָרִי.,这是名牌。,Zhè shì míngpái.,This is a famous brand.,זהו מותג מפורסם.,0,Group 2,5
1542,讲话,jiǎnghuà,"speak, talk","לדבר, לדבר",他喜欢讲话,tā xǐhuan jiǎnghuà,He likes to talk,הוא אוהב לדבר,2,Group 2,5
1543,开户,kāigù,open an account.,לפתוח חשבון.,去银行开户,qù yínháng kāigù,Go to a bank to open an account,לך לבנק כדי לפתוח חשבון,2,Group 2,5
1544,空姐,kōngjiě,stewardess,דיילת,空姐很漂亮,kōngjiě hěn piàoliang,The stewardess is very beautiful,הדיילת מאוד יפה,2,Group 2,5
1545,算卦,suànguà,tell sb.'s fortune,לספר את הונו של sb,老人会算卦,lǎorén huì suànguà,The old man can tell fortunes,הזקן יכול לספר עתידות,2,Group 2,5
1546,停留,tíngliú,stay for a time;.,להישאר לזמן מה;.,在这里停留,zài zhèlǐ tíngliú,Stay Here,הישאר כאן,2,Group 2,5
1547,同志,tóngzhì,comrade.,חָבֵר.,同志，你好,"tóngzhì, nǐ hǎo","Hello, comrade","שלום, חבר",2,Group 2,5
1548,外公,wàigōng,(maternal) grandfather.,סבא (אמהי).,外公很慈祥,wàigōng hěn cíxiáng,Grandpa is very kind,סבא מאוד אדיב,2,Group 2,5
1549,弯腰,wānyāo,bend over,לִגחוֹן,弯腰捡东西,wānyāo jiǎn dōngxi,Bending down to pick up something,מתכופף כדי להרים משהו,2,Group 2,5
1550,卫星,wèixīng,satellite;,לוויין;,卫星很先进,wèixīng hěn xiānjìn,Satellites are very advanced,לוויינים מאוד מתקדמים,2,Group 2,5
1551,摇头,yáotóu,shake one's head.,להניד את הראש.,摇头不同意,yáotóu bù tóngyì,Shake head in disagreement,נענע בראש באי הסכמה,2,Group 2,5
1552,原来,yuánlái,original; former.,מְקוֹרִי; לְשֶׁעָבַר.,原来是朋友,yuánlái shì péngyou,It turned out to be a friend,התברר שזה חבר,2,Group 2,5
1553,祖国,zǔguó,motherland;,מוֹלֶדֶת;,祖国很伟大,zǔguó hěn wěidà,The motherland is great,המולדת נהדרת,2,Group 2,5
1554,长久,chángjiǔ,"permanent, long lasting","קבוע, לאורך זמן",长久的朋友,chángjiǔ de péngyou,Long-time friends,חברים ותיקים,2,Group 2,5
1555,题目,tímù,topic,נוֹשֵׂא,题目的问题,tí mù de wèn tí,The problem with the title,הבעיה עם הכותרת,2,Group 2,5
1556,中医,zhōngyī,doctor of Chinese medicine;,דוקטור לרפואה סינית;,我看过中医,wǒ kàn guò zhōng yī,I have seen a Chinese doctor,פגשתי רופא סיני,2,Group 2,5
1557,渴,kě,thirsty;,צמא;,他渴求知识,tā kě qiú zhī shí,He thirsts for knowledge,הוא צמא לידע,1,Group 2,5
1558,少,shǎo,few; little,מְעַטִים; קְצָת,这里人很少。,Zhèlǐ rén hěn shǎo.,There are very few people here.,יש כאן מעט מאוד אנשים.,1,Group 2,6
1559,不停,bùtíng,incessantly,ללא הרף,雨不停地下。,Yǔ bùtíng de xià.,The rain keeps falling.,הגשם ממשיך לרדת.,2,Group 2,6
1560,十分,shífēn,quite.,דַי.,我十分高兴。,Wǒ shífēn gāoxìng.,I am very happy.,אני מאוד שמח.,2,Group 2,6
1561,影碟,yǐngdié,VCD,VCD,我买了影碟。,Wǒ mǎi le yǐngdié.,I bought a DVD.,קניתי DVD.,2,Group 2,6
1562,结婚,jiéhūn,marry;,לְהִתְחַתֵן;,他们结婚了。,Tāmen jiéhūn le.,They got married.,הם התחתנו.,2,Group 2,6
1563,开放,kāifàng,open,לִפְתוֹחַ,商店开放了。,Shāngdiàn kāifàng le.,The store is open.,החנות פתוחה.,2,Group 2,6
1564,语法,yǔfǎ,grammar,דִקדוּק,语法很重要。,Yǔfǎ hěn zhòngyào.,Grammar is important.,דקדוק זה חשוב.,2,Group 2,6
1565,放大,fàngdà,enlarge.,לְהַגדִיל.,请放大字体。,Qǐng fàngdà zìtǐ.,Please increase the font size.,נא להגדיל את גודל הגופן.,2,Group 2,6
1566,杯子,bēizi,cup;,גָבִיעַ;,杯子摔在地上,bēizi shuāi zài dìshàng,The cup fell to the ground,הספל נפל ארצה,2,Group 2,6
1567,拉,lā,"pull, transport","למשוך, להעביר",请拉我一把。,Qǐng lā wǒ yī bǎ.,Please give me a hand.,בבקשה תן לי יד.,1,Group 2,6
1568,偷,tōu,steal.,לִגנוֹב.,不要偷东西。,Bùyào tōu dōngxi.,Don't steal.,אל תגנוב.,2,Group 2,6
1569,药,yào,medicine,תרופה,这是你的药方,zhè shì nǐ de yào fāng,This is your prescription,זה המרשם שלך,2,Group 2,6
1570,怕,pà,fear; .,פַּחַד; .,我太怕扎针了,wǒ tài pà zā zhēn liǎo,I'm too afraid of needles.,אני מפחד מדי ממחטים.,2,Group 2,6
1571,闭,bì,close,לִסְגוֹר,"闭上你的嘴,","bì shàng nǐ de zuǐ ,","shut your mouth,","סתום את הפה שלך,",2,Group 2,6
1572,金,jīn,gold,זָהָב,这是金戒指。,Zhè shì jīn jièzhi.,This is a gold ring.,זוהי טבעת זהב.,1,Group 2,6
1573,腿,tuǐ,leg;,רֶגֶל;,我的腿很疼。,Wǒ de tuǐ hěn téng.,My legs hurt.,כואבות לי הרגליים.,2,Group 2,6
1574,烤,kǎo,bake; roast;,לֶאֱפוֹת; צָלִי;,晚餐有烤羊肉,wǎn cān yǒu kǎo yáng ròu,Dinner with roast lamb,ארוחת ערב עם כבש צלוי,2,Group 2,6
1575,加油,jiāyóu,come on!,קדימה!,加油，你能行,"jiāyóu, nǐ néng xíng","Come on, you can do it","בחייך, אתה יכול לעשות את זה",2,Group 2,6
1576,敬酒,jìngjiǔ,propose a toast; toast.,להציע טוסט; טוֹסט.,我向客人敬酒,wǒ xiàng kèrén jìngjiǔ,I toast to the guests,אני כוסית לאורחים,2,Group 2,6
1577,劳驾,láojià,excuse me.,תסלח לי.,劳驾，让一下,"láojià, ràng yīxià","Excuse me, please move aside","סליחה, בבקשה זז הצידה",2,Group 2,6
1578,签名,qiānmíng,sign one's name; autograph.,לחתום על שמו; חֲתִימָה.,请在这里签名,qǐng zài zhèlǐ qiānmíng,Please sign here,נא לחתום כאן,2,Group 2,6
1579,上街,shàngjiē,go to the street (shopping),ללכת לרחוב (קניות),妈妈上街买菜,māma shàngjiē mǎi cài,Mom goes to the street to buy vegetables,אמא הולכת לרחוב לקנות ירקות,2,Group 2,6
1580,世上,shìshang,in the world; on earth.,בעולם; עֲלֵי אֲדָמוֹת.,世上没有完美,shìshàng méiyǒu wánměi,There is no perfection in the world,אין שלמות בעולם,2,Group 2,6
1581,谈论,tánlùn,discuss; talk about.,לָדוּן; לדבר על.,他们谈论工作,tāmen tánlùn gōngzuò,They talk about work,הם מדברים על עבודה,2,Group 2,6
1582,做客,zuòkè,be a guest.,להיות אורח.,去朋友家做客,qù péngyou jiā zuòkè,Visiting a friend's house,ביקור בבית של חבר,2,Group 2,6
1583,表现,biǎoxiàn,show; display;,לְהַצִיג; לְהַצִיג;,她表现很杰出,tā biǎoxiàn hěn jiéchū,She performed outstandingly,היא הופיעה בצורה יוצאת מן הכלל,2,Group 2,6
1584,爱人,àirén,husband or wife,בעל או אישה,你有爱人吗？,nǐ yǒu ài rén má ？,Do you have a lover?,יש לך מאהב?,2,Group 2,6
1585,不如,bùrú,not equal to; not as good as;,לא שווה ל; לא טוב כמו;,弟弟不如哥哥,dì dì bù rú gē gē,The younger brother is not as good as the older brother,האח הצעיר לא טוב כמו האח הגדול,2,Group 2,6
1586,方面,fāngmiàn,respect; aspect,כִּבּוּד; אַספֶּקט,多方面的兴趣,duō fāng miàn de xīng qù,Various interests,תחומי עניין שונים,2,Group 2,6
1587,画家,huàjiā,painter; artists.,צייר; אמנים.,她是专业画家,tā shì zhuān yè huà jiā,She is a professional painter,היא ציירת מקצועית,2,Group 2,6
1588,烤鸭,kǎoyā,roast duck.,ברווז צלוי.,他很喜欢烤鸭,tā hěn xǐ huān kǎo yā,He likes roast duck very much,הוא אוהב מאוד ברווז צלוי,2,Group 2,6
1589,民歌,míngē,folk song.,שִׁיר עַם.,我还喜欢民歌,wǒ huán xǐ huān mín gē,I also like folk songs,אני גם אוהב שירי עם,2,Group 2,6
1590,身高,shēngāo,height,גוֹבַה,他身高一米八,tā shēn gāo yī mǐ bā,He is 1.8 meters tall,גובהו 1.8 מטר,2,Group 2,6
1591,这么,zhème,so; such; like this.,כָּך; כָּזֶה; כָּזֶה.,房间里这么热,fáng jiān lǐ zhè me rè,The room is so hot,החדר כל כך חם,2,Group 2,6
1592,背景,bèijǐng,background;,רֶקַע;,这是背景音乐。,Zhè shì bèijǐng yīnyuè.,This is background music.,זו מוזיקת ​​רקע.,2,Group 2,7
1593,画册,huàcè,album of paintings;,אלבום ציורים;,我有一本画册。,Wǒ yǒu yī běn huàcè.,I have a picture album.,יש לי אלבום תמונות.,2,Group 2,7
1594,包裹,bāoguǒ,package,חֲבִילָה,我收到了包裹。,Wǒ shōu dào le bāoguǒ.,I received the package.,קיבלתי את החבילה.,2,Group 2,7
1595,山水,shānshuǐ,scenery,נוֹף,山水画很漂亮。,Shānshuǐ huà hěn piàoliang.,The landscape paintings are beautiful.,ציורי הנוף יפים.,2,Group 2,7
1596,交流,jiāoliú,exchange; communicate,לְהַחלִיף; לְהַעֲבִיר,我们要多交流。,Wǒmen yào duō jiāoliú.,We need to communicate more.,אנחנו צריכים לתקשר יותר.,2,Group 2,7
1597,人口,rénkǒu,population;,אוּכְלוֹסִיָה;,中国的人口特多,zhōng guó de rén kǒu tè duō,China has a large population,בסין יש אוכלוסייה גדולה,2,Group 2,7
1598,搂,lǒu,embrace.,לְחַבֵּק.,他伸出手搂住她,tā shēn chū shǒu lǒu zhù tā,He put his arm around her,הוא כרך את זרועו סביבה,2,Group 2,7
1599,办事,bànshì,handle affairs; run an errand,לטפל בעניינים; לנהל משימה,他办事总是规矩,tā bàn shì zǒng shì guī jǔ,He always does things in a disciplined manner,הוא תמיד עושה דברים בצורה ממושמעת,2,Group 2,7
1600,不久,bùjiǔ,not long,לא ארוך,冬天不久就来了,dōng tiān bù jiǔ jiù lái liǎo,Winter is coming soon,החורף מגיע בקרוב,2,Group 2,7
1601,喘气,chuǎnqì,breathe (deeply); pant;,לנשום (עמוק); לְהִתְנַשֵׁם;,他跑完步后喘气,tā pǎo wán bù hòu chuǎnqì,He was panting after running,הוא התנשף אחרי ריצה,2,Group 2,7
1602,救命,jiùmìng,Help! (save someone's life),עֶזרָה! (להציל חיים של מישהו),救命，有人落水,"jiùmìng, yǒu rén luòshuǐ","Help, someone fell into the water","עזרה, מישהו נפל למים",2,Group 2,7
1603,大约,dàyuē,approximately;,בְּעֵרֶך;,现在大约十一点,xiàn zài dà yuē shí yī diǎn,It's about eleven o'clock now,השעה עכשיו בערך אחת עשרה,2,Group 2,7
1604,道理,dàoli,"reason, sense.","סיבה, שכל.",他说的有些道理,tā shuō de yǒu xiē dào lǐ,What he said makes some sense,יש הגיון במה שהוא אמר,2,Group 2,7
1605,国籍,guójí,nationality.,אֶזרָחוּת.,我的国籍是中国,wǒ de guó jí shì zhōng guó,My nationality is Chinese,הלאום שלי הוא סיני,2,Group 2,7
1606,开演,kāiyǎn,"(of a play, movie, etc.) begin.","(של מחזה, סרט וכו') מתחילים.",什么时候开演？,shén me shí hòu kāi yǎn ？,When does the show start?,מתי ההופעה מתחילה?,2,Group 2,7
1607,肯定,kěndìng,"be certain, sure","תהיה בטוח, בטוח",我肯定不会迷路,wǒ kěn dìng bù huì mí lù,I'm sure I won't get lost,אני בטוח שלא אלך לאיבוד,2,Group 2,7
1608,离婚,líhūn,divorce.,לְהִתְגַרֵשׁ.,他们已经离婚了,tā mén yǐ jīng lí hūn liǎo,They are divorced.,הם גרושים.,2,Group 2,7
1609,人家,rénjia,"household, family","משק בית, משפחה",人家等你半天了,rén jiā děng nǐ bàn tiān liǎo,I've been waiting for you for a long time.,אני מחכה לך הרבה זמן.,2,Group 2,7
1610,相信,xiāngxìn,believe,לְהֶאֱמִין,按摩，相信按摩,àn mó ， xiāng xìn àn mó,"Massage, believe in massage","עיסוי, מאמין בעיסוי",2,Group 2,7
1611,针灸,zhēnjiǔ,acupuncture and moxibustion.,דיקור ומוקסה.,他们还学习针灸,tā mén huán xué xí zhēn jiǔ,They also learn acupuncture,הם גם לומדים דיקור סיני,2,Group 2,7
1612,滚,gǔn,roll;,גָלִיל;,球滚走了。,Qiú gǔn zǒu le.,The ball rolled away.,הכדור התגלגל.,1,Group 2,5
1613,捎,shāo,take along/bring sth. for sb.,לקחת איתך/להביא ע''ש. עבור sb.,捎来这些花,shāo lái zhè xiē huā,Bring these flowers,תביא את הפרחים האלה,1,Group 2,5
1614,涂,tú,spread on; apply; paint,להתפשט על; לִפְנוֹת; צֶבַע,他把花涂成,tā bǎ huā tú chéng,He painted the flowers,הוא צייר את הפרחים,1,Group 2,5
1615,册,cè,volume;,כֶּרֶך;,这是第一册。,Zhè shì dì yī cè.,This is the first volume.,זהו הכרך הראשון.,1,Group 2,6
1616,刮,guā,blow (wind),לנשוף (רוח),风刮得很大。,Fēng guā de hěn dà.,The wind is blowing very hard.,הרוח נושבת חזק מאוד.,1,Group 2,6
1617,哦,ó,(an interjection),(קריאת ביניים),哦，我明白了,"ó, wǒ míngbai le","Oh, I see.","אה, אני מבין.",1,Group 2,6
1618,倍,bèi,times; -fold;,פִּי; -לְקַפֵּל;,三的三倍是九,sān de sān bèi shì jiǔ,Three times three is nine,שלוש כפול שלוש זה תשע,1,Group 2,6
1619,尝,cháng,taste; try,טַעַם; לְנַסוֹת,饼尝起来很香,bǐng cháng qǐ lái hěn xiāng,The cake tastes delicious,העוגה טעימה,1,Group 2,6
1620,阴,yīn,"cloudy, overcast","מעונן, מעונן",天开始变阴了,tiān kāi shǐ biàn yīn liǎo,The sky started to turn cloudy,השמיים החלו להיות מעוננים,1,Group 2,6
1621,双,shuāng,two; twin; both; pair;,דוּ; תְאוֹם; שְׁנֵיהֶם; זוּג;,双小提琴协奏曲,shuāng xiǎo tí qín xié zòu qū,Double Violin Concerto,קונצ'רטו לכינור כפול,1,Group 2,7
1622,除了...以外,chúle...yǐwài,except; besides;,אֶלָא; מִלְבַד;,除了他以外,chúle tā yǐwài,Except him,חוץ ממנו,0,Group 2,5
1623,一边...一边,yībiān...yībiān,"at the same time, while","בו זמנית, תוך כדי",一边走一边说,yībiān zǒu yībiān shuō,Talking while walking,מדבר תוך כדי הליכה,0,Group 2,6
1624,帮(助),bāng (zhù),help; assist;,עֶזרָה; לַעֲזוֹר;,我们互相帮助,wǒmen hùxiāng bāngzhù,We help each other,אנחנו עוזרים אחד לשני,0,Group 2,6
1625,只要...就,zhǐyào...jiù,as long as...(will)...,כל עוד...(יעשה)...,只要努力就成功,zhǐyào nǔlì jiù chénggōng,"As long as you work hard, you will succeed","כל עוד אתה עובד קשה, אתה תצליח",0,Group 2,7
1626,一...就...,yī...jiù...,once...so,פעם אחת... אז,我一回家就吃饭,wǒ yī huí jiā jiù chī fàn,I eat as soon as I get home,אני אוכל ברגע שאני מגיע הביתה,0,Group 2,7
1627,着,zháo,(succeeding in),(מצליח),找了半天也没找着,zhǎo liǎo bàn tiān yě méi zhǎo zhuó,I searched for a long time but couldn't find it,חיפשתי הרבה זמן אבל לא מצאתי,7,Group 3,8
1628,把,bǎ,(see grammer),(ראה דקדוק),香烟把干草点着了,xiāng yān bǎ gān cǎo diǎn zhuó le,The cigarette set the hay on fire,הסיגריה העלתה את החציר באש,11,Group 3,8
1629,参加,cānjiā,attend; take part in;,לְטַפֵּל; לקחת חלק ב;,学教组织学生参加运动会,xué jiào zǔ zhī xué shēng cān jiā yùn dòng huì,The school organizes students to participate in the sports meeting,בית הספר מארגן תלמידים להשתתפות במפגש הספורט,6,Group 3,11
1630,旅行,lǚxíng,travel; tour.,לִנְסוֹעַ; סִיוּר.,我想坐火车去上海旅行,wǒ xiǎng zuò huǒ chē qù shàng hǎi lǚ xíng,I want to travel to Shanghai by train,אני רוצה לנסוע לשנגחאי ברכבת,4,Group 3,10
1631,计划,jìhuà,plan;,לְתַכְנֵן;,的计划马上去做个按摩,de jì huá mǎ shàng qù zuò gè àn mó,Plan to get a massage soon,מתכננים לקבל עיסוי בקרוב,2,Group 3,10
1632,加,jiā,add; plus; increase,לְהוֹסִיף; פְּלוּס; לְהַגדִיל,你应该增加你的词汇,nǐ yīng gāi zēng jiā nǐ de cí huì,You should increase your vocabulary,כדאי להגדיל את אוצר המילים שלך,3,Group 3,9
1633,活动,huódòng,activity,פְּעִילוּת,这个活动很有趣。,Zhège huódòng hěn yǒuqù.,This activity is very interesting.,הפעילות הזו מאוד מעניינת.,8,Group 3,8
1634,小心,xiǎoxīn,be careful; be cautious.,לְהִזָהֵר; להיות זהיר.,小心别把你的新衣服弄坏了,xiǎo xīn bié bǎ nǐ de xīn yī fú nòng huài liǎo,Be careful not to ruin your new clothes,היזהר לא להרוס את הבגדים החדשים שלך,2,Group 3,12
1635,北京,běijīng,Beijing (Peking).,בייג'ין (פקינג).,上海不比北京暖和,shàng hǎi bù bǐ běi jīng nuǎn hé,Shanghai is not warmer than Beijing,בשנחאי לא חם יותר מבייג'ין,10,Group 3,8
1636,城市,chéngshì,city; town.,עִיר; עִיר.,上海是一个工商业城市,shàng hǎi shì yī gè gōng shāng yè chéng shì,Shanghai is an industrial and commercial city,שנגחאי היא עיר תעשייתית ומסחרית,6,Group 3,10
1637,长,cháng,long;,אָרוֹך;,车辆排了几公里长,chē liàng pái liǎo jī gōng lǐ cháng,The line of vehicles was several kilometers long,תור הרכבים היה באורך מספר קילומטרים,4,Group 3,8
1638,参观,cānguān,visit;,לְבַקֵר;,我去参观了上海工业展览会,wǒ qù cān guān liǎo shàng hǎi gōng yè zhǎn lǎn huì,I visited the Shanghai Industrial Exhibition,ביקרתי בתערוכת התעשייה של שנחאי,2,Group 3,12
1639,应,yīng,accept (an invitation),לקבל (הזמנה),我们应该利用机会,wǒ mén yīng gāi lì yòng jī huì,We should take advantage of opportunities,אנחנו צריכים לנצל הזדמנויות,5,Group 3,8
1640,一些,yīxiē,some;,כַּמָה;,她手里有一些瓜子,tā shǒu lǐ yǒu yī xiē guā zǐ,She has some melon seeds in her hand,יש לה כמה זרעי מלון ביד,4,Group 3,8
1641,历史,lìshǐ,history;,הִיסטוֹרִיָה;,我的姐姐是个历史研究生,wǒ de jiě jiě shì gè lì shǐ yán jiū shēng,My sister is a history graduate student,אחותי היא סטודנטית לתואר שני בהיסטוריה,2,Group 3,11
1642,地上,dìshàng,ground,טָחוּן,东西掉在地上了。,Dōngxi diào zài dìshang le.,Something fell to the ground.,משהו נפל ארצה.,2,Group 3,8
1643,钥匙,yàoshi,key.,מַפְתֵחַ.,我找不到钥匙了。,Wǒ zhǎo bù dào yàoshi le.,I can't find my keys.,אני לא מוצא את המפתחות שלי.,4,Group 3,8
1644,带,dài,belt;,חֲגוֹרָה;,他给我们带来了鲜花,tā gěi wǒ mén dài lái liǎo xiān huā,He brought us flowers.,הוא הביא לנו פרחים.,3,Group 3,9
1645,一样,yīyàng,same,אוֹתוֹ,季节跟北京一样吗？,jì jié gēn běi jīng yī yàng má ？,Are the seasons the same as in Beijing?,האם עונות השנה זהות לבייג'ין?,6,Group 3,9
1646,安静,ānjìng,quiet; peaceful,שֶׁקֶט; שָׁקֶט,请安静 抱歉 请安静,qǐng ānjìng bàoqiàn qǐng ānjìng,"Please be quiet. Sorry, please be quiet.","בבקשה תהיה בשקט. סליחה, בבקשה תהיה בשקט.",4,Group 3,10
1647,手提包,shǒutíbāo,handbag;,אַרְנָק;,我错拿了你的手提包,wǒ cuò ná liǎo nǐ de shǒu tí bāo,I took your handbag by mistake,לקחתי את התיק שלך בטעות,9,Group 3,9
1648,丢三落四,diūsānlàsì,forgetful;,שַׁכְחָן;,他总是丢三落四。,Tā zǒngshì diūsānlàsì.,He is always losing things.,הוא תמיד מאבד דברים.,8,Group 3,8
1649,节,jié,holiday; festival,חַג; פֶסטִיבָל,中秋节我们吃月饼,zhōng qiū jié wǒ mén chī yuè bǐng,We eat mooncakes during the Mid-Autumn Festival,אנחנו אוכלים עוגות ירח במהלך פסטיבל אמצע הסתיו,2,Group 3,8
1650,介绍,jièshào,introduce,לְהַצִיג,我来给你介绍一下,wǒ lái gěi nǐ jiè shào yī xià,Let me introduce you,תן לי להציג אותך,4,Group 3,8
1651,水果,shuǐguǒ,fruit.,פְּרִי.,你想吃点水果吗？,nǐ xiǎng chī diǎn shuǐ guǒ má ？,Would you like some fruit?,תרצה קצת פירות?,2,Group 3,8
1652,周末,zhōumò,weekend.,סוֹף שָׁבוּעַ.,整个周末照顾孩子,zhěng gè zhōu mò zhào gù hái zǐ,Babysitting for the entire weekend,בייביסיטר לכל סוף השבוע,2,Group 3,8
1653,准时,zhǔnshí,punctual,דייקן,我们八点准时上课,wǒ mén bā diǎn zhǔn shí shàng kè,We have class at 8 o'clock sharp,יש לנו שיעור בשעה 8 חדות,2,Group 3,8
1654,火车,huǒchē,train.,רַכֶּבֶת.,谢谢你来火车站送我,xiè xiè nǐ lái huǒ chē zhàn sòng wǒ,Thank you for seeing me off at the train station,תודה שראית אותי בתחנת הרכבת,2,Group 3,9
1655,讨论,tǎolùn,discuss; discussion,לָדוּן; דִיוּן,我最喜欢跟我妈妈讨论,wǒ zuì xǐ huān gēn wǒ mā mā tǎo lùn,I like discussing it with my mother the most,אני הכי אוהב לדון בזה עם אמא שלי,4,Group 3,10
1656,文件,wénjiàn,documents;,מסמכים;,我想传真这份文件往香港,wǒ xiǎng chuán zhēn zhè fèn wén jiàn wǎng xiāng gǎng,I would like to fax this document to Hong Kong,ברצוני לשלוח מסמך זה בפקס להונג קונג,2,Group 3,11
1657,质量,zhìliàng,quality;,אֵיכוּת;,这冰箱质量好，价钱也不贵,zhè bīng xiāng zhì liáng hǎo ， jià qián yě bù guì,This refrigerator is of good quality and not expensive.,המקרר הזה הוא באיכות טובה ולא יקר.,4,Group 3,12
1658,警察,jǐngchá,police; policeman.,מִשׁטָרָה; שׁוֹטֵר.,警察一把抓住了小偷的衣服,jǐng chá yī bǎ zhuā zhù liǎo xiǎo tōu de yī fú,The police grabbed the thief's clothes,השוטרים תפסו את בגדי הגנב,2,Group 3,12
1659,预报,yùbào,forecast.,תַחֲזִית.,天气预报说下雨。,Tiānqì yùbào shuō xià yǔ.,The weather forecast says it will rain.,תחזית מזג האוויר אומרת שיירד גשם.,4,Group 3,8
1660,风光,fēngguāng,scenery,נוֹף,这里的风光很美。,Zhèlǐ de fēngguāng hěn měi.,The scenery here is beautiful.,הנוף כאן יפהפה.,6,Group 3,8
1661,平方米,píngfāngmǐ,square metre,מטר מרובע,面积100平方米,miàn jī 100 píng fāng mǐ,Area 100 square meters,"שטח 100 מ""ר",6,Group 3,8
1662,记,jì,remember; write down;,לִזכּוֹר; לִרְשׁוֹם;,要记住开车的时间,yào jì zhù kāi chē de shí jiān,Remember to drive for a while,זכור לנהוג לזמן מה,4,Group 3,8
1663,平均,píngjūn,average,מְמוּצָע,我们平均每天接到,wǒ mén píng jūn měi tiān jiē dào,"On average, we receive",בממוצע אנחנו מקבלים,6,Group 3,8
1664,讲学,jiǎngxué,give lectures;,לתת הרצאות;,他去年在美国讲学,tā qù nián zài měi guó jiǎng xué,He gave a lecture in the United States last year,הוא נתן הרצאה בארצות הברית בשנה שעברה,6,Group 3,8
1665,今年,jīnnián,this year,השנה,公司今年生意很好,gōng sī jīn nián shēng yì hěn hǎo,The company's business is very good this year,עסקיה של החברה טובים מאוד השנה,4,Group 3,8
1666,鲁迅,lǔxùn,"an author, Lu Xun.","סופר, Lu Xun.",这本书是鲁迅写的,zhè běn shū shì lǔ xùn xiě de,This book was written by Lu Xun,ספר זה נכתב על ידי Lu Xun,4,Group 3,8
1667,导游,dǎoyóu,tourist guide,מדריך תיירים,你们的翻译和导游,nǐ mén de fān yì hé dǎo yóu,Your translator and guide,המתרגם והמדריך שלך,2,Group 3,8
1668,父母,fùmǔ,parents.,הוֹרִים.,我靠我的父母生活,wǒ kào wǒ de fù mǔ shēng huó,I live on my parents,אני גר על ההורים שלי,2,Group 3,8
1669,又,yòu,also; again.,גַם; שׁוּב.,哎呀!我又迟到了,āi yā ! wǒ yòu chí dào liǎo,Oops! I'm late again,אופס! שוב אני מאחר,1,Group 3,8
1670,歌曲,gēqǔ,song.,שִׁיר.,你喜欢流行歌曲吗?,nǐ xǐ huān liú xíng gē qū má ?,Do you like pop songs?,האם אתה אוהב שירי פופ?,6,Group 3,9
1671,演员,yǎnyuán,actor or actress;,שחקן או שחקנית;,我认识很有名的演员,wǒ rèn shí hěn yǒu míng de yǎn yuán,I know a very famous actor,אני מכיר שחקן מאוד מפורסם,6,Group 3,9
1672,好听,hǎotīng,pleasant to hear.,נעים לשמוע.,他有许多好听的故事,tā yǒu xǔ duō hǎo tīng de gù shì,He has many good stories,יש לו הרבה סיפורים טובים,4,Group 3,9
1673,早晨,zǎochén,(early) morning.,בוקר (מוקדם).,你早晨几点钟上班？,nǐ zǎo chén jī diǎn zhōng shàng bān ？,What time do you go to work in the morning?,באיזה שעה אתה הולך לעבודה בבוקר?,4,Group 3,9
1674,主要,zhǔyào,main;,רָאשִׁי;,我看主要是词汇不够,wǒ kàn zhǔ yào shì cí huì bù gòu,I think it's mainly due to lack of vocabulary,אני חושב שזה בעיקר בגלל חוסר אוצר מילים,4,Group 3,9
1675,家乡,jiāxiāng,hometown;,עיר הולדתו;,他喜欢家乡的美丽风光,tā xǐ huān jiā xiāng de měi lì fēng guāng,He likes the beautiful scenery of his hometown,הוא אוהב את הנוף היפה של עיר הולדתו,4,Group 3,10
1676,电视台,diànshìtái,TV station.,תחנת טלוויזיה.,我的表是按电视台对的,wǒ de biǎo shì àn diàn shì tái duì de,My watch is adjusted to the TV station,השעון שלי מותאם לתחנת הטלוויזיה,3,Group 3,10
1677,父亲,fùqin,father.,אַבָּא.,我的父亲教我骑自行车,wǒ de fù qīn jiào wǒ qí zì xíng chē,My father taught me to ride a bike,אבא שלי לימד אותי לרכוב על אופניים,2,Group 3,10
